Date,Time,Open,High,Low,Close,Value
2022.10.06,00:00,1.13225,1.13833,1.12969,1.13629,18188
2022.10.06,04:00,1.13629,1.13790,1.13325,1.13660,25010
2022.10.06,08:00,1.13660,1.13672,1.12788,1.12885,48249
2022.10.06,12:00,1.12886,1.13157,1.12416,1.12660,42867
2022.10.06,16:00,1.12660,1.12694,1.11131,1.11442,57734
2022.10.06,20:00,1.11443,1.11929,1.11415,1.11576,26619
2022.10.07,00:00,1.11557,1.11726,1.11344,1.11481,14421
2022.10.07,04:00,1.11482,1.11892,1.11389,1.11538,17221
2022.10.07,08:00,1.11540,1.12192,1.11153,1.11927,43491
2022.10.07,12:00,1.11930,1.12250,1.10913,1.11326,39443
2022.10.07,16:00,1.11323,1.11698,1.10906,1.10976,55651
2022.10.07,20:00,1.10979,1.11042,1.10552,1.10863,24805
2022.10.10,00:00,1.10798,1.10958,1.10576,1.10876,20627
2022.10.10,04:00,1.10876,1.11109,1.10692,1.10806,25412
2022.10.10,08:00,1.10806,1.11107,1.10272,1.10547,47265
2022.10.10,12:00,1.10548,1.10999,1.10425,1.10737,31730
2022.10.10,16:00,1.10739,1.10813,1.10249,1.10270,44169
2022.10.10,20:00,1.10268,1.10816,1.10196,1.10540,29396
2022.10.11,00:00,1.10525,1.10950,1.10496,1.10873,13080
2022.10.11,04:00,1.10873,1.10943,1.10179,1.10233,29640
2022.10.11,08:00,1.10231,1.10563,1.09974,1.10440,59073
2022.10.11,12:00,1.10438,1.11142,1.10310,1.10879,44249
2022.10.11,16:00,1.10880,1.11799,1.10436,1.11617,62208
2022.10.11,20:00,1.11618,1.11649,1.09519,1.09667,43026
2022.10.12,00:00,1.09627,1.09918,1.09480,1.09698,23349
2022.10.12,04:00,1.09697,1.10605,1.09230,1.09969,49144
2022.10.12,08:00,1.09962,1.10655,1.09539,1.10363,65553
2022.10.12,12:00,1.10365,1.10989,1.10210,1.10471,47992
2022.10.12,16:00,1.10471,1.10997,1.10221,1.10627,57503
2022.10.12,20:00,1.10625,1.11335,1.10599,1.10982,34347
2022.10.13,00:00,1.10983,1.11198,1.10876,1.11115,18072
2022.10.13,04:00,1.11115,1.11148,1.10754,1.10896,26348
2022.10.13,08:00,1.10895,1.11038,1.10575,1.11032,45978
2022.10.13,12:00,1.11032,1.12973,1.11000,1.12167,49363
2022.10.13,16:00,1.12162,1.13805,1.11589,1.13295,67620
2022.10.13,20:00,1.13279,1.13519,1.13009,1.13227,20310
2022.10.14,00:00,1.13105,1.13341,1.12893,1.13070,7242
2022.10.14,04:00,1.13070,1.13661,1.13056,1.13213,13889
2022.10.14,08:00,1.13210,1.13350,1.12547,1.12748,41274
2022.10.14,12:00,1.12751,1.13107,1.11667,1.12614,54138
